元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C1623	470nF (474) ±10% 25V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1603	220pF (221) ±10% 50V	电容_贴片电容	0603	2	SAMSUNG 三星	基础库
C1604	2.2nF (222) ±10% 50V	电容_贴片电容	0603	2	FH 风华	基础库
C1798	20pF (200) ±5% 50V	电容_贴片电容	0805	2	SAMSUNG 三星	基础库
C1804	22pF (220) ±5% 50V	电容_贴片电容	0805	2	SAMSUNG 三星	基础库
C1790	100pF (101) ±5% 50V	电容_贴片电容	0805	2	SAMSUNG 三星	基础库
C17710	470Ω (4700) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17713	47KΩ (4702) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C26010	3.3KΩ (3301) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17561	22Ω (22R0) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17630	330Ω (3300) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17661	3KΩ (3001) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17540	200Ω (2000) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17520	2.2KΩ (2201) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17475	15KΩ (1502) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17437	120Ω (1200) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C4310	1.5KΩ (1501) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C23197	51Ω (51R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23352	24KΩ (2402) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23228	680Ω (6800) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23231	68KΩ (6802) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23189	5.6KΩ (5601) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23182	47Ω (47R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23185	49.9Ω (49R9) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22962	220Ω (2200) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
